Image Name, Type, IoU, Dice, Precision, Recall, F1
0.png, Binary, 0.9198, 0.9582, 0.9522, 0.9644, 0.9582
0.png, Continuous, 0.9070, 0.9512, 0.9554, 0.9471, 0.9512
1.png, Binary, 0.6915, 0.8176, 0.8640, 0.7759, 0.8176
1.png, Continuous, 0.6839, 0.8122, 0.8717, 0.7604, 0.8122
10.png, Binary, 0.6491, 0.7872, 0.8251, 0.7526, 0.7872
10.png, Continuous, 0.6423, 0.7822, 0.8347, 0.7360, 0.7822
11.png, Binary, 0.6651, 0.7988, 0.8354, 0.7654, 0.7988
11.png, Continuous, 0.6554, 0.7918, 0.8431, 0.7464, 0.7918
12.png, Binary, 0.6238, 0.7683, 0.8406, 0.7075, 0.7683
12.png, Continuous, 0.6136, 0.7606, 0.8486, 0.6891, 0.7606
13.png, Binary, 0.6596, 0.7949, 0.7973, 0.7924, 0.7949
13.png, Continuous, 0.6536, 0.7905, 0.8070, 0.7747, 0.7905
15.png, Binary, 0.6705, 0.8028, 0.8512, 0.7596, 0.8028
15.png, Continuous, 0.6605, 0.7955, 0.8583, 0.7413, 0.7955
17.png, Binary, 0.6545, 0.7912, 0.8090, 0.7741, 0.7912
17.png, Continuous, 0.6456, 0.7847, 0.8177, 0.7542, 0.7847
19.png, Binary, 0.6544, 0.7911, 0.7503, 0.8366, 0.7911
19.png, Continuous, 0.6510, 0.7886, 0.7626, 0.8164, 0.7886
3.png, Binary, 0.6543, 0.7910, 0.8106, 0.7724, 0.7910
3.png, Continuous, 0.6495, 0.7875, 0.8218, 0.7559, 0.7875
4.png, Binary, 0.8947, 0.9444, 0.9313, 0.9580, 0.9444
4.png, Continuous, 0.8858, 0.9394, 0.9383, 0.9406, 0.9394
5.png, Binary, 0.6146, 0.7613, 0.8456, 0.6923, 0.7613
5.png, Continuous, 0.6037, 0.7529, 0.8552, 0.6724, 0.7529
6.png, Binary, 0.6252, 0.7693, 0.8078, 0.7344, 0.7693
6.png, Continuous, 0.6191, 0.7648, 0.8193, 0.7170, 0.7648
